,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
109,North,Spokane,"MT, ID, WA",2008 (Mexicans Only),296.0,2008 ,Mexicans Only
110,North,Swanton,"NH, VT, NY",2008 (Mexicans Only),271.0,2008 ,Mexicans Only
111,Southwest,Big Bend,TX,2008 (Mexicans Only),4756.0,2008 ,Mexicans Only
112,Southwest,Del Rio,TX,2008 (Mexicans Only),14916.0,2008 ,Mexicans Only
113,Southwest,El Centro,CA,2008 (Mexicans Only),40159.0,2008 ,Mexicans Only
114,Southwest,El Paso,"NM, TX",2008 (Mexicans Only),29137.0,2008 ,Mexicans Only
115,Southwest,Laredo,TX,2008 (Mexicans Only),34403.0,2008 ,Mexicans Only
116,Southwest,Rio Grande Valley,TX,2008 (Mexicans Only),55401.0,2008 ,Mexicans Only
117,Southwest,San Diego,CA,2008 (Mexicans Only),160818.0,2008 ,Mexicans Only
118,Southwest,Tucson,AZ,2008 (Mexicans Only),305429.0,2008 ,Mexicans Only
119,Southwest,Yuma,"CA, AZ",2008 (Mexicans Only),8016.0,2008 ,Mexicans Only
120,Coast,Miami,"FL, GA, SC, NC",2009 (All Illegal Immigrants),4425.0,2009 ,All Illegal Immigrants
121,Coast,New Orleans,"LA, AL, MS, FL",2009 (All Illegal Immigrants),3527.0,2009 ,All Illegal Immigrants
122,Coast,Ramey,PR,2009 (All Illegal Immigrants),418.0,2009 ,All Illegal Immigrants
123,North,Blaine,"WA, OR",2009 (All Illegal Immigrants),843.0,2009 ,All Illegal Immigrants
124,North,Buffalo,"NY, PA",2009 (All Illegal Immigrants),2672.0,2009 ,All Illegal Immigrants
125,North,Detroit,"OH, MI, IN, IL",2009 (All Illegal Immigrants),1157.0,2009 ,All Illegal Immigrants
126,North,Grand Forks,"WI, MN, ND",2009 (All Illegal Immigrants),472.0,2009 ,All Illegal Immigrants
127,North,Havre,MT,2009 (All Illegal Immigrants),283.0,2009 ,All Illegal Immigrants
128,North,Houlton,ME,2009 (All Illegal Immigrants),59.0,2009 ,All Illegal Immigrants
129,North,Spokane,"MT, ID, WA",2009 (All Illegal Immigrants),277.0,2009 ,All Illegal Immigrants
130,North,Swanton,"NH, VT, NY",2009 (All Illegal Immigrants),1043.0,2009 ,All Illegal Immigrants
131,Southwest,Big Bend,TX,2009 (All Illegal Immigrants),6360.0,2009 ,All Illegal Immigrants
132,Southwest,Del Rio,TX,2009 (All Illegal Immigrants),17082.0,2009 ,All Illegal Immigrants
133,Southwest,El Centro,CA,2009 (All Illegal Immigrants),33521.0,2009 ,All Illegal Immigrants
134,Southwest,El Paso,"NM, TX",2009 (All Illegal Immigrants),14999.0,2009 ,All Illegal Immigrants
135,Southwest,Laredo,TX,2009 (All Illegal Immigrants),40569.0,2009 ,All Illegal Immigrants
136,Southwest,Rio Grande Valley,TX,2009 (All Illegal Immigrants),60989.0,2009 ,All Illegal Immigrants
137,Southwest,San Diego,CA,2009 (All Illegal Immigrants),118721.0,2009 ,All Illegal Immigrants
138,Southwest,Tucson,AZ,2009 (All Illegal Immigrants),241673.0,2009 ,All Illegal Immigrants
139,Southwest,Yuma,"CA, AZ",2009 (All Illegal Immigrants),6951.0,2009 ,All Illegal Immigrants
140,Coast,Miami,"FL, GA, SC, NC",2009 (Mexicans Only),1857.0,2009 ,Mexicans Only
141,Coast,New Orleans,"LA, AL, MS, FL",2009 (Mexicans Only),2269.0,2009 ,Mexicans Only
142,Coast,Ramey,PR,2009 (Mexicans Only),2.0,2009 ,Mexicans Only
143,North,Blaine,"WA, OR",2009 (Mexicans Only),524.0,2009 ,Mexicans Only
144,North,Buffalo,"NY, PA",2009 (Mexicans Only),1314.0,2009 ,Mexicans Only
145,North,Detroit,"OH, MI, IN, IL",2009 (Mexicans Only),881.0,2009 ,Mexicans Only
146,North,Grand Forks,"WI, MN, ND",2009 (Mexicans Only),311.0,2009 ,Mexicans Only
147,North,Havre,MT,2009 (Mexicans Only),208.0,2009 ,Mexicans Only
148,North,Houlton,ME,2009 (Mexicans Only),10.0,2009 ,Mexicans Only
149,North,Spokane,"MT, ID, WA",2009 (Mexicans Only),260.0,2009 ,Mexicans Only
150,North,Swanton,"NH, VT, NY",2009 (Mexicans Only),168.0,2009 ,Mexicans Only
151,Southwest,Big Bend,TX,2009 (Mexicans Only),5573.0,2009 ,Mexicans Only
152,Southwest,Del Rio,TX,2009 (Mexicans Only),12820.0,2009 ,Mexicans Only
153,Southwest,El Centro,CA,2009 (Mexicans Only),32602.0,2009 ,Mexicans Only
154,Southwest,El Paso,"NM, TX",2009 (Mexicans Only),13887.0,2009 ,Mexicans Only
155,Southwest,Laredo,TX,2009 (Mexicans Only),31831.0,2009 ,Mexicans Only
156,Southwest,Rio Grande Valley,TX,2009 (Mexicans Only),45051.0,2009 ,Mexicans Only
157,Southwest,San Diego,CA,2009 (Mexicans Only),117227.0,2009 ,Mexicans Only
158,Southwest,Tucson,AZ,2009 (Mexicans Only),230045.0,2009 ,Mexicans Only
159,Southwest,Yuma,"CA, AZ",2009 (Mexicans Only),6546.0,2009 ,Mexicans Only
160,Coast,Miami,"FL, GA, SC, NC",2010 (All Illegal Immigrants),4651.0,2010 ,All Illegal Immigrants
161,Coast,New Orleans,"LA, AL, MS, FL",2010 (All Illegal Immigrants),3171.0,2010 ,All Illegal Immigrants
